SampleSize,Trial,Estimator,RuntimeNs
100,57,BarianceOpt,1625
100,58,Unbiased,2208
100,58,BarianceOpt,1500
100,59,Unbiased,2125
100,59,BarianceOpt,1584
100,60,Unbiased,2125
100,60,BarianceOpt,1500
100,61,Unbiased,2542
100,61,BarianceOpt,2500
100,62,Unbiased,2833
100,62,BarianceOpt,1791
100,63,Unbiased,2291
100,63,BarianceOpt,1500
100,64,Unbiased,2208
100,64,BarianceOpt,1458
100,65,Unbiased,2209
100,65,BarianceOpt,1459
100,66,Unbiased,2708
100,66,BarianceOpt,1375
100,67,Unbiased,2166
100,67,BarianceOpt,1542
100,68,Unbiased,2167
100,68,BarianceOpt,1625
100,69,Unbiased,2125
100,69,BarianceOpt,1458
100,70,Unbiased,2083
100,70,BarianceOpt,1583
100,71,Unbiased,2667
100,71,BarianceOpt,1917
100,72,Unbiased,2208
100,72,BarianceOpt,1416
100,73,Unbiased,2209
100,73,BarianceOpt,1500
100,74,Unbiased,2084
100,74,BarianceOpt,1500
100,75,Unbiased,2125
100,75,BarianceOpt,1500
100,76,Unbiased,2333
100,76,BarianceOpt,1541
100,77,Unbiased,2167
100,77,BarianceOpt,1500
100,78,Unbiased,2125
100,78,BarianceOpt,1417
100,79,Unbiased,2083
100,79,BarianceOpt,1333
100,80,Unbiased,2167
100,80,BarianceOpt,1458
100,81,Unbiased,2417
100,81,BarianceOpt,1792
100,82,Unbiased,2167
100,82,BarianceOpt,1291
100,83,Unbiased,2166
100,83,BarianceOpt,1542
100,84,Unbiased,2125
100,84,BarianceOpt,1583
100,85,Unbiased,2125
100,85,BarianceOpt,1625
100,86,Unbiased,2083
100,86,BarianceOpt,1541
100,87,Unbiased,2416
100,87,BarianceOpt,1333
100,88,Unbiased,2166
100,88,BarianceOpt,1458
100,89,Unbiased,2083
100,89,BarianceOpt,1542
100,90,Unbiased,2083
100,90,BarianceOpt,1542
100,91,Unbiased,2125
100,91,BarianceOpt,1500
100,92,Unbiased,2458
100,92,BarianceOpt,1750
100,93,Unbiased,2084
100,93,BarianceOpt,1542
100,94,Unbiased,2208
100,94,BarianceOpt,1458
100,95,Unbiased,2042
100,95,BarianceOpt,1541
100,96,Unbiased,2083
100,96,BarianceOpt,1375
100,97,Unbiased,2542
100,97,BarianceOpt,1500
100,98,Unbiased,2125
100,98,BarianceOpt,1375
100,99,Unbiased,2125
100,99,BarianceOpt,1500
200,0,Unbiased,4292
