SampleSize,Trial,Estimator,RuntimeNs
100,24,Biased,2125
100,24,BarianceOpt,1500
100,24,NaivePairwise,10375
100,24,UnbiasedPairwise,10250
100,24,BiasedPairwise,10083
100,24,PopulationVar,2041
100,24,AltBariance,1500
100,25,Unbiased,2500
100,25,Biased,2334
100,25,BarianceOpt,1583
100,25,NaivePairwise,12417
100,25,UnbiasedPairwise,10708
100,25,BiasedPairwise,10458
100,25,PopulationVar,2542
100,25,AltBariance,1375
100,26,Unbiased,2208
100,26,Biased,2208
100,26,BarianceOpt,1375
100,26,NaivePairwise,34958
100,26,UnbiasedPairwise,10333
100,26,BiasedPairwise,22958
100,26,PopulationVar,2125
100,26,AltBariance,1458
100,27,Unbiased,2167
100,27,Biased,2041
100,27,BarianceOpt,1542
100,27,NaivePairwise,10334
100,27,UnbiasedPairwise,21542
100,27,BiasedPairwise,10292
100,27,PopulationVar,2125
100,27,AltBariance,1584
100,28,Unbiased,2125
100,28,Biased,2041
100,28,BarianceOpt,1334
100,28,NaivePairwise,21125
100,28,UnbiasedPairwise,10458
100,28,BiasedPairwise,23292
100,28,PopulationVar,2167
100,28,AltBariance,1416
100,29,Unbiased,2166
100,29,Biased,3084
100,29,BarianceOpt,1833
100,29,NaivePairwise,10583
100,29,UnbiasedPairwise,30417
100,29,BiasedPairwise,10458
100,29,PopulationVar,2334
100,29,AltBariance,1666
100,30,Unbiased,2709
100,30,Biased,2500
100,30,BarianceOpt,1959
100,30,NaivePairwise,24084
100,30,UnbiasedPairwise,10417
100,30,BiasedPairwise,35083
100,30,PopulationVar,3417
100,30,AltBariance,2042
100,31,Unbiased,2250
100,31,Biased,2292
100,31,BarianceOpt,1542
100,31,NaivePairwise,24834
100,31,UnbiasedPairwise,20583
100,31,BiasedPairwise,19750
100,31,PopulationVar,2125
100,31,AltBariance,1625
100,32,Unbiased,2167
100,32,Biased,2125
100,32,BarianceOpt,1459
100,32,NaivePairwise,26083
100,32,UnbiasedPairwise,17292
100,32,BiasedPairwise,16833
100,32,PopulationVar,2125
100,32,AltBariance,1625
100,33,Unbiased,2166
100,33,Biased,2041
100,33,BarianceOpt,1416
100,33,NaivePairwise,16792
100,33,UnbiasedPairwise,16750
100,33,BiasedPairwise,16584
100,33,PopulationVar,2167
100,33,AltBariance,1625
100,34,Unbiased,2083
100,34,Biased,2041
100,34,BarianceOpt,1458
100,34,NaivePairwise,17083
100,34,UnbiasedPairwise,16667
100,34,BiasedPairwise,16750
100,34,PopulationVar,2084
100,34,AltBariance,1458
100,35,Unbiased,2542
100,35,Biased,2334
100,35,BarianceOpt,1375
100,35,NaivePairwise,16958
100,35,UnbiasedPairwise,16875
100,35,BiasedPairwise,16709
100,35,PopulationVar,2375
100,35,AltBariance,1541
100,36,Unbiased,2125
100,36,Biased,2083
100,36,BarianceOpt,1416
100,36,NaivePairwise,17167
100,36,UnbiasedPairwise,16708
100,36,BiasedPairwise,16666
100,36,PopulationVar,2125
100,36,AltBariance,1459
100,37,Unbiased,2208
100,37,Biased,2042
100,37,BarianceOpt,1416
100,37,NaivePairwise,16833
100,37,UnbiasedPairwise,16708
100,37,BiasedPairwise,16709
100,37,PopulationVar,2125
100,37,AltBariance,1583
100,38,Unbiased,2125
100,38,Biased,2084
100,38,BarianceOpt,1417
100,38,NaivePairwise,16875
100,38,UnbiasedPairwise,16834
100,38,BiasedPairwise,16833
100,38,PopulationVar,2167
100,38,AltBariance,1584
100,39,Unbiased,2125
100,39,Biased,2042
