SampleSize,Trial,Estimator,RuntimeNs
100,99,Unbiased,2084
100,99,BarianceOpt,1333
200,0,Unbiased,4125
200,0,BarianceOpt,2625
200,1,Unbiased,4375
200,1,BarianceOpt,3291
200,2,Unbiased,4125
200,2,BarianceOpt,2958
200,3,Unbiased,4458
200,3,BarianceOpt,3083
200,4,Unbiased,4125
200,4,BarianceOpt,2750
200,5,Unbiased,4166
200,5,BarianceOpt,2959
200,6,Unbiased,4459
200,6,BarianceOpt,3333
200,7,Unbiased,4125
200,7,BarianceOpt,2834
200,8,Unbiased,6042
200,8,BarianceOpt,2958
200,9,Unbiased,4083
200,9,BarianceOpt,3084
200,10,Unbiased,4458
200,10,BarianceOpt,2875
200,11,Unbiased,4083
200,11,BarianceOpt,4333
200,12,Unbiased,4834
200,12,BarianceOpt,3000
200,13,Unbiased,1625
200,13,BarianceOpt,2792
200,14,Unbiased,1041
200,14,BarianceOpt,1167
200,15,Unbiased,1083
200,15,BarianceOpt,416
200,16,Unbiased,917
200,16,BarianceOpt,458
200,17,Unbiased,875
200,17,BarianceOpt,417
200,18,Unbiased,834
200,18,BarianceOpt,459
200,19,Unbiased,959
200,19,BarianceOpt,416
200,20,Unbiased,875
200,20,BarianceOpt,416
200,21,Unbiased,917
200,21,BarianceOpt,541
200,22,Unbiased,833
200,22,BarianceOpt,375
200,23,Unbiased,1000
200,23,BarianceOpt,458
200,24,Unbiased,875
200,24,BarianceOpt,417
200,25,Unbiased,917
200,25,BarianceOpt,417
200,26,Unbiased,1167
200,26,BarianceOpt,583
200,27,Unbiased,917
200,27,BarianceOpt,458
200,28,Unbiased,916
200,28,BarianceOpt,500
200,29,Unbiased,917
200,29,BarianceOpt,458
200,30,Unbiased,1417
200,30,BarianceOpt,459
200,31,Unbiased,916
200,31,BarianceOpt,542
200,32,Unbiased,1000
200,32,BarianceOpt,459
200,33,Unbiased,1000
200,33,BarianceOpt,459
200,34,Unbiased,917
200,34,BarianceOpt,417
200,35,Unbiased,917
200,35,BarianceOpt,542
200,36,Unbiased,1000
200,36,BarianceOpt,542
200,37,Unbiased,875
200,37,BarianceOpt,541
200,38,Unbiased,1000
200,38,BarianceOpt,583
200,39,Unbiased,959
200,39,BarianceOpt,458
200,40,Unbiased,1000
200,40,BarianceOpt,584
200,41,Unbiased,1000
200,41,BarianceOpt,416
200,42,Unbiased,1000
200,42,BarianceOpt,541
200,43,Unbiased,1000
200,43,BarianceOpt,459
200,44,Unbiased,875
200,44,BarianceOpt,583
200,45,Unbiased,875
200,45,BarianceOpt,500
200,46,Unbiased,1000
200,46,BarianceOpt,583
200,47,Unbiased,959
200,47,BarianceOpt,416
200,48,Unbiased,917
200,48,BarianceOpt,542
200,49,Unbiased,1125
200,49,BarianceOpt,500
200,50,Unbiased,1416
200,50,BarianceOpt,417
200,51,Unbiased,917
200,51,BarianceOpt,458
200,52,Unbiased,958
200,52,BarianceOpt,375
200,53,Unbiased,792
200,53,BarianceOpt,750
200,54,Unbiased,833
200,54,BarianceOpt,458
200,55,Unbiased,875
200,55,BarianceOpt,416
200,56,Unbiased,792
200,56,BarianceOpt,417
200,57,Unbiased,875
200,57,BarianceOpt,417
200,58,Unbiased,875
200,58,BarianceOpt,500
200,59,Unbiased,1000
200,59,BarianceOpt,417
200,60,Unbiased,875
200,60,BarianceOpt,500
200,61,Unbiased,1000
200,61,BarianceOpt,542
200,62,Unbiased,958
200,62,BarianceOpt,458
200,63,Unbiased,958
