SampleSize,Trial,Estimator,RuntimeNs
100,0,Unbiased,3375
100,0,BarianceOpt,3292
100,1,Unbiased,2667
100,1,BarianceOpt,1666
100,2,Unbiased,2250
100,2,BarianceOpt,1459
100,3,Unbiased,2167
100,3,BarianceOpt,1500
100,4,Unbiased,2125
100,4,BarianceOpt,1458
100,5,Unbiased,2667
100,5,BarianceOpt,1667
100,6,Unbiased,2125
100,6,BarianceOpt,1375
100,7,Unbiased,2083
100,7,BarianceOpt,1416
100,8,Unbiased,2208
100,8,BarianceOpt,1584
100,9,Unbiased,2084
100,9,BarianceOpt,1417
100,10,Unbiased,2417
100,10,BarianceOpt,1708
100,11,Unbiased,2125
100,11,BarianceOpt,1583
100,12,Unbiased,2166
100,12,BarianceOpt,1541
100,13,Unbiased,2208
100,13,BarianceOpt,1541
100,14,Unbiased,2042
100,14,BarianceOpt,1625
100,15,Unbiased,2458
100,15,BarianceOpt,1458
100,16,Unbiased,2083
100,16,BarianceOpt,1542
100,17,Unbiased,2000
100,17,BarianceOpt,1541
100,18,Unbiased,2208
100,18,BarianceOpt,1666
100,19,Unbiased,2167
100,19,BarianceOpt,1500
100,20,Unbiased,2500
100,20,BarianceOpt,1666
100,21,Unbiased,2041
100,21,BarianceOpt,1416
100,22,Unbiased,2083
100,22,BarianceOpt,1541
100,23,Unbiased,2125
100,23,BarianceOpt,1542
100,24,Unbiased,2208
100,24,BarianceOpt,1458
100,25,Unbiased,2833
100,25,BarianceOpt,1625
100,26,Unbiased,2125
100,26,BarianceOpt,1541
100,27,Unbiased,2166
100,27,BarianceOpt,1417
100,28,Unbiased,2125
100,28,BarianceOpt,1542
100,29,Unbiased,2000
100,29,BarianceOpt,1541
100,30,Unbiased,2375
100,30,BarianceOpt,2000
100,31,Unbiased,2167
100,31,BarianceOpt,1542
100,32,Unbiased,2084
100,32,BarianceOpt,1375
100,33,Unbiased,2083
100,33,BarianceOpt,1625
100,34,Unbiased,2167
100,34,BarianceOpt,1375
100,35,Unbiased,2416
100,35,BarianceOpt,1417
100,36,Unbiased,2167
100,36,BarianceOpt,1667
100,37,Unbiased,2292
100,37,BarianceOpt,1667
100,38,Unbiased,2000
100,38,BarianceOpt,1542
100,39,Unbiased,2041
100,39,BarianceOpt,1333
100,40,Unbiased,2458
100,40,BarianceOpt,1750
100,41,Unbiased,2041
100,41,BarianceOpt,1333
100,42,Unbiased,2084
100,42,BarianceOpt,1541
100,43,Unbiased,2042
100,43,BarianceOpt,1542
100,44,Unbiased,2167
100,44,BarianceOpt,1584
100,45,Unbiased,2042
100,45,BarianceOpt,1625
100,46,Unbiased,2416
100,46,BarianceOpt,1542
100,47,Unbiased,2125
100,47,BarianceOpt,1542
100,48,Unbiased,2167
100,48,BarianceOpt,1375
100,49,Unbiased,2041
100,49,BarianceOpt,1333
100,50,Unbiased,2083
100,50,BarianceOpt,1500
100,51,Unbiased,2375
100,51,BarianceOpt,1584
100,52,Unbiased,2167
100,52,BarianceOpt,1500
100,53,Unbiased,2208
100,53,BarianceOpt,1542
100,54,Unbiased,2042
100,54,BarianceOpt,1542
100,55,Unbiased,2083
100,55,BarianceOpt,1375
100,56,Unbiased,2292
100,56,BarianceOpt,1625
100,57,Unbiased,2416
100,57,BarianceOpt,1417
100,58,Unbiased,2041
100,58,BarianceOpt,1417
100,59,Unbiased,2041
100,59,BarianceOpt,1583
100,60,Unbiased,2125
100,60,BarianceOpt,1375
100,61,Unbiased,2375
100,61,BarianceOpt,1708
100,62,Unbiased,2167
100,62,BarianceOpt,1542
100,63,Unbiased,2167
100,63,BarianceOpt,1542
100,64,Unbiased,2208
100,64,BarianceOpt,1584
100,65,Unbiased,2042
100,65,BarianceOpt,1375
100,66,Unbiased,2500
100,66,BarianceOpt,1542
100,67,Unbiased,2125
100,67,BarianceOpt,1542
100,68,Unbiased,2208
100,68,BarianceOpt,1667
100,69,Unbiased,2041
100,69,BarianceOpt,1709
100,70,Unbiased,2208
100,70,BarianceOpt,1709
100,71,Unbiased,2667
100,71,BarianceOpt,1917
100,72,Unbiased,2042
100,72,BarianceOpt,1417
100,73,Unbiased,2042
100,73,BarianceOpt,1583
100,74,Unbiased,2125
100,74,BarianceOpt,1583
100,75,Unbiased,2209
100,75,BarianceOpt,1375
100,76,Unbiased,2625
100,76,BarianceOpt,1542
100,77,Unbiased,2250
100,77,BarianceOpt,1625
100,78,Unbiased,2125
100,78,BarianceOpt,1541
100,79,Unbiased,2084
100,79,BarianceOpt,1375
100,80,Unbiased,2083
100,80,BarianceOpt,1375
100,81,Unbiased,2375
100,81,BarianceOpt,1667
100,82,Unbiased,2208
100,82,BarianceOpt,1541
100,83,Unbiased,2125
100,83,BarianceOpt,1375
100,84,Unbiased,2167
100,84,BarianceOpt,1542
100,85,Unbiased,2125
100,85,BarianceOpt,1541
100,86,Unbiased,2042
100,86,BarianceOpt,1375
100,87,Unbiased,2333
100,87,BarianceOpt,1334
100,88,Unbiased,2000
100,88,BarianceOpt,1542
100,89,Unbiased,7375
100,89,BarianceOpt,1416
100,90,Unbiased,2041
100,90,BarianceOpt,1541
100,91,Unbiased,2084
100,91,BarianceOpt,1667
100,92,Unbiased,7458
100,92,BarianceOpt,4250
100,93,Unbiased,15917
100,93,BarianceOpt,3250
100,94,Unbiased,2375
100,94,BarianceOpt,1750
100,95,Unbiased,2292
100,95,BarianceOpt,1583
100,96,Unbiased,2291
100,96,BarianceOpt,1625
100,97,Unbiased,2416
100,97,BarianceOpt,1375
100,98,Unbiased,2125
100,98,BarianceOpt,1333
100,99,Unbiased,2125
100,99,BarianceOpt,1542
100,100,Unbiased,2209
100,100,BarianceOpt,1333
100,101,Unbiased,2625
100,101,BarianceOpt,1833
100,102,Unbiased,2875
100,102,BarianceOpt,1834
100,103,Unbiased,2083
100,103,BarianceOpt,1333
100,104,Unbiased,2125
100,104,BarianceOpt,1541
100,105,Unbiased,2125
100,105,BarianceOpt,1417
100,106,Unbiased,2000
100,106,BarianceOpt,1542
100,107,Unbiased,2333
100,107,BarianceOpt,1500
100,108,Unbiased,2041
100,108,BarianceOpt,1500
