SampleSize,Trial,Estimator,RuntimeNs
100000,33,UnbiasedOptim,458666
100000,33,BiasedOptim,474208
100000,33,PopulationOptim,507833
100000,33,BarianceOptim,99125
100000,33,AltBarianceOptim,85791
100000,34,UnbiasedOptim,458167
100000,34,BiasedOptim,458208
100000,34,PopulationOptim,461500
100000,34,BarianceOptim,85625
100000,34,AltBarianceOptim,85708
100000,35,UnbiasedOptim,461875
100000,35,BiasedOptim,482750
100000,35,PopulationOptim,468167
100000,35,BarianceOptim,89667
100000,35,AltBarianceOptim,85708
100000,36,UnbiasedOptim,458334
100000,36,BiasedOptim,461500
100000,36,PopulationOptim,470083
100000,36,BarianceOptim,85667
100000,36,AltBarianceOptim,85625
100000,37,UnbiasedOptim,461416
100000,37,BiasedOptim,461500
100000,37,PopulationOptim,458250
100000,37,BarianceOptim,85667
100000,37,AltBarianceOptim,85708
100000,38,UnbiasedOptim,458083
100000,38,BiasedOptim,469500
100000,38,PopulationOptim,458208
100000,38,BarianceOptim,103584
100000,38,AltBarianceOptim,92458
100000,39,UnbiasedOptim,458167
100000,39,BiasedOptim,458250
100000,39,PopulationOptim,458250
100000,39,BarianceOptim,88959
100000,39,AltBarianceOptim,85708
100000,40,UnbiasedOptim,514250
100000,40,BiasedOptim,507958
100000,40,PopulationOptim,462667
100000,40,BarianceOptim,85667
100000,40,AltBarianceOptim,95291
100000,41,UnbiasedOptim,462750
100000,41,BiasedOptim,472125
100000,41,PopulationOptim,496000
100000,41,BarianceOptim,92833
100000,41,AltBarianceOptim,85750
100000,42,UnbiasedOptim,458167
100000,42,BiasedOptim,461417
100000,42,PopulationOptim,458250
100000,42,BarianceOptim,85666
100000,42,AltBarianceOptim,85666
100000,43,UnbiasedOptim,467458
100000,43,BiasedOptim,475667
100000,43,PopulationOptim,468416
100000,43,BarianceOptim,85625
100000,43,AltBarianceOptim,85667
100000,44,UnbiasedOptim,461417
100000,44,BiasedOptim,469542
100000,44,PopulationOptim,461500
100000,44,BarianceOptim,85625
100000,44,AltBarianceOptim,92625
100000,45,UnbiasedOptim,478833
100000,45,BiasedOptim,458209
100000,45,PopulationOptim,464834
100000,45,BarianceOptim,85708
100000,45,AltBarianceOptim,85666
100000,46,UnbiasedOptim,458250
100000,46,BiasedOptim,466042
100000,46,PopulationOptim,458250
100000,46,BarianceOptim,85708
100000,46,AltBarianceOptim,85666
100000,47,UnbiasedOptim,469417
100000,47,BiasedOptim,485208
100000,47,PopulationOptim,469375
100000,47,BarianceOptim,93167
100000,47,AltBarianceOptim,95833
100000,48,UnbiasedOptim,458167
100000,48,BiasedOptim,464875
100000,48,PopulationOptim,462625
100000,48,BarianceOptim,91916
100000,48,AltBarianceOptim,92125
100000,49,UnbiasedOptim,458083
100000,49,BiasedOptim,458250
100000,49,PopulationOptim,461459
100000,49,BarianceOptim,85666
100000,49,AltBarianceOptim,85666
100000,50,UnbiasedOptim,458042
100000,50,BiasedOptim,458167
100000,50,PopulationOptim,480000
100000,50,BarianceOptim,85625
