SampleSize,Trial,Estimator,RuntimeNs
100,24,Biased,2167
100,24,BarianceOpt,1583
100,24,NaivePairwise,10542
100,24,UnbiasedPairwise,10333
100,24,BiasedPairwise,10666
100,24,PopulationVar,2042
100,24,AltBariance,1542
100,25,Unbiased,2584
100,25,Biased,2375
100,25,BarianceOpt,1709
100,25,NaivePairwise,10500
100,25,UnbiasedPairwise,10375
100,25,BiasedPairwise,10708
100,25,PopulationVar,2584
100,25,AltBariance,1583
100,26,Unbiased,2125
100,26,Biased,2083
100,26,BarianceOpt,1625
100,26,NaivePairwise,30208
100,26,UnbiasedPairwise,10458
100,26,BiasedPairwise,38042
100,26,PopulationVar,2250
100,26,AltBariance,1792
100,27,Unbiased,2208
100,27,Biased,2125
100,27,BarianceOpt,1542
100,27,NaivePairwise,10000
100,27,UnbiasedPairwise,21292
100,27,BiasedPairwise,10042
100,27,PopulationVar,2084
100,27,AltBariance,1458
100,28,Unbiased,2125
100,28,Biased,2083
100,28,BarianceOpt,1625
100,28,NaivePairwise,22125
100,28,UnbiasedPairwise,10083
100,28,BiasedPairwise,21750
100,28,PopulationVar,2125
100,28,AltBariance,1375
100,29,Unbiased,2208
100,29,Biased,2041
100,29,BarianceOpt,1584
100,29,NaivePairwise,10125
100,29,UnbiasedPairwise,22709
100,29,BiasedPairwise,10084
100,29,PopulationVar,2000
100,29,AltBariance,1541
100,30,Unbiased,3125
100,30,Biased,2500
100,30,BarianceOpt,1792
100,30,NaivePairwise,22833
100,30,UnbiasedPairwise,10292
100,30,BiasedPairwise,22792
100,30,PopulationVar,2541
100,30,AltBariance,1834
100,31,Unbiased,2125
100,31,Biased,2042
100,31,BarianceOpt,1583
100,31,NaivePairwise,10500
100,31,UnbiasedPairwise,22916
100,31,BiasedPairwise,26916
100,31,PopulationVar,2209
100,31,AltBariance,1750
100,32,Unbiased,2209
100,32,Biased,2125
100,32,BarianceOpt,1625
100,32,NaivePairwise,24959
100,32,UnbiasedPairwise,22875
100,32,BiasedPairwise,24000
100,32,PopulationVar,1958
100,32,AltBariance,1541
100,33,Unbiased,2250
100,33,Biased,2166
100,33,BarianceOpt,1500
100,33,NaivePairwise,17667
100,33,UnbiasedPairwise,16625
100,33,BiasedPairwise,16708
100,33,PopulationVar,2083
100,33,AltBariance,1542
100,34,Unbiased,2125
100,34,Biased,2125
100,34,BarianceOpt,1458
100,34,NaivePairwise,17042
100,34,UnbiasedPairwise,16708
100,34,BiasedPairwise,17166
100,34,PopulationVar,2125
100,34,AltBariance,1541
100,35,Unbiased,2792
100,35,Biased,2375
100,35,BarianceOpt,1542
100,35,NaivePairwise,17333
100,35,UnbiasedPairwise,16792
100,35,BiasedPairwise,16709
100,35,PopulationVar,2375
100,35,AltBariance,1500
100,36,Unbiased,2125
100,36,Biased,2125
100,36,BarianceOpt,1583
100,36,NaivePairwise,17000
100,36,UnbiasedPairwise,16625
100,36,BiasedPairwise,16667
100,36,PopulationVar,2083
100,36,AltBariance,1584
100,37,Unbiased,2125
100,37,Biased,2041
100,37,BarianceOpt,1583
100,37,NaivePairwise,16709
100,37,UnbiasedPairwise,16750
100,37,BiasedPairwise,16625
100,37,PopulationVar,2083
100,37,AltBariance,1583
100,38,Unbiased,2125
100,38,Biased,2083
100,38,BarianceOpt,1458
100,38,NaivePairwise,16875
100,38,UnbiasedPairwise,17208
100,38,BiasedPairwise,16708
100,38,PopulationVar,2083
100,38,AltBariance,1583
100,39,Unbiased,2083
100,39,Biased,2042
100,39,BarianceOpt,1583
100,39,NaivePairwise,16875
100,39,UnbiasedPairwise,16500
100,39,BiasedPairwise,16625
100,39,PopulationVar,2084
100,39,AltBariance,1542
100,40,Unbiased,2459
100,40,Biased,2333
100,40,BarianceOpt,1708
100,40,NaivePairwise,16750
100,40,UnbiasedPairwise,16625
100,40,BiasedPairwise,16708
100,40,PopulationVar,2334
100,40,AltBariance,1792
100,41,Unbiased,2167
100,41,Biased,2084
100,41,BarianceOpt,1458
100,41,NaivePairwise,16834
100,41,UnbiasedPairwise,16833
100,41,BiasedPairwise,16667
100,41,PopulationVar,2084
100,41,AltBariance,1583
100,42,Unbiased,2083
100,42,Biased,2084
100,42,BarianceOpt,1417
100,42,NaivePairwise,16750
100,42,UnbiasedPairwise,16625
100,42,BiasedPairwise,16709
100,42,PopulationVar,2084
100,42,AltBariance,1542
100,43,Unbiased,2084
100,43,Biased,2084
100,43,BarianceOpt,1584
100,43,NaivePairwise,16667
100,43,UnbiasedPairwise,16583
100,43,BiasedPairwise,16583
100,43,PopulationVar,2084
100,43,AltBariance,1583
100,44,Unbiased,2125
100,44,Biased,2042
100,44,BarianceOpt,1542
100,44,NaivePairwise,4959
100,44,UnbiasedPairwise,4709
100,44,BiasedPairwise,4666
100,44,PopulationVar,2083
100,44,AltBariance,1458
100,45,Unbiased,2125
100,45,Biased,2083
100,45,BarianceOpt,1583
100,45,NaivePairwise,4542
100,45,UnbiasedPairwise,4667
100,45,BiasedPairwise,4667
100,45,PopulationVar,2125
100,45,AltBariance,1542
100,46,Unbiased,2459
100,46,Biased,2375
100,46,BarianceOpt,1458
100,46,NaivePairwise,4667
100,46,UnbiasedPairwise,4625
100,46,BiasedPairwise,4750
100,46,PopulationVar,2334
100,46,AltBariance,1541
100,47,Unbiased,2083
100,47,Biased,2083
100,47,BarianceOpt,1416
100,47,NaivePairwise,4625
100,47,UnbiasedPairwise,4667
100,47,BiasedPairwise,4750
100,47,PopulationVar,2041
100,47,AltBariance,1583
100,48,Unbiased,2125
100,48,Biased,2083
100,48,BarianceOpt,1459
100,48,NaivePairwise,4625
100,48,UnbiasedPairwise,4625
100,48,BiasedPairwise,4625
100,48,PopulationVar,2042
100,48,AltBariance,1375
100,49,Unbiased,2083
100,49,Biased,2042
100,49,BarianceOpt,1417
100,49,NaivePairwise,4584
100,49,UnbiasedPairwise,4625
100,49,BiasedPairwise,4709
100,49,PopulationVar,2083
100,49,AltBariance,1500
100,50,Unbiased,2208
100,50,Biased,2083
100,50,BarianceOpt,1417
100,50,NaivePairwise,4625
100,50,UnbiasedPairwise,4625
100,50,BiasedPairwise,4667
100,50,PopulationVar,2041
100,50,AltBariance,1583
100,51,Unbiased,2375
100,51,Biased,2333
100,51,BarianceOpt,1833
100,51,NaivePairwise,4625
100,51,UnbiasedPairwise,4625
100,51,BiasedPairwise,4625
100,51,PopulationVar,2292
100,51,AltBariance,1750
100,52,Unbiased,2084
100,52,Biased,2041
100,52,BarianceOpt,1583
100,52,NaivePairwise,4667
100,52,UnbiasedPairwise,4666
100,52,BiasedPairwise,4667
100,52,PopulationVar,2083
100,52,AltBariance,1542
100,53,Unbiased,2125
100,53,Biased,2083
100,53,BarianceOpt,1500
100,53,NaivePairwise,4625
100,53,UnbiasedPairwise,4583
100,53,BiasedPairwise,4625
100,53,PopulationVar,2042
100,53,AltBariance,1583
100,54,Unbiased,2208
100,54,Biased,2167
100,54,BarianceOpt,1500
100,54,NaivePairwise,4583
100,54,UnbiasedPairwise,4667
100,54,BiasedPairwise,4667
100,54,PopulationVar,2084
100,54,AltBariance,1541
100,55,Unbiased,2084
100,55,Biased,2083
100,55,BarianceOpt,1500
100,55,NaivePairwise,4667
100,55,UnbiasedPairwise,4583
100,55,BiasedPairwise,4667
100,55,PopulationVar,2083
100,55,AltBariance,1458
100,56,Unbiased,2584
100,56,Biased,2375
100,56,BarianceOpt,1542
100,56,NaivePairwise,4625
100,56,UnbiasedPairwise,4625
100,56,BiasedPairwise,4625
100,56,PopulationVar,2375
100,56,AltBariance,1417
100,57,Unbiased,2000
100,57,Biased,2000
100,57,BarianceOpt,1458
100,57,NaivePairwise,4500
100,57,UnbiasedPairwise,4500
100,57,BiasedPairwise,4542
100,57,PopulationVar,2000
100,57,AltBariance,1500
100,58,Unbiased,2167
100,58,Biased,2042
100,58,BarianceOpt,1500
100,58,NaivePairwise,4583
100,58,UnbiasedPairwise,4500
100,58,BiasedPairwise,4541
100,58,PopulationVar,1958
100,58,AltBariance,1542
100,59,Unbiased,2042
100,59,Biased,2000
100,59,BarianceOpt,1542
100,59,NaivePairwise,4625
100,59,UnbiasedPairwise,4500
100,59,BiasedPairwise,4541
100,59,PopulationVar,2125
100,59,AltBariance,1459
100,60,Unbiased,2041
100,60,Biased,2042
100,60,BarianceOpt,1417
100,60,NaivePairwise,4542
100,60,UnbiasedPairwise,4500
100,60,BiasedPairwise,4500
100,60,PopulationVar,2000
100,60,AltBariance,1375
100,61,Unbiased,2500
100,61,Biased,2416
100,61,BarianceOpt,1792
100,61,NaivePairwise,4541
100,61,UnbiasedPairwise,4542
100,61,BiasedPairwise,4625
100,61,PopulationVar,2291
100,61,AltBariance,1833
100,62,Unbiased,2125
100,62,Biased,2000
100,62,BarianceOpt,1834
100,62,NaivePairwise,6041
100,62,UnbiasedPairwise,4583
100,62,BiasedPairwise,4625
100,62,PopulationVar,2083
100,62,AltBariance,1584
100,63,Unbiased,2125
100,63,Biased,2083
100,63,BarianceOpt,1583
100,63,NaivePairwise,4625
100,63,UnbiasedPairwise,4625
100,63,BiasedPairwise,4709
100,63,PopulationVar,2250
100,63,AltBariance,1708
100,64,Unbiased,3000
100,64,Biased,2417
100,64,BarianceOpt,1833
100,64,NaivePairwise,5625
100,64,UnbiasedPairwise,4750
100,64,BiasedPairwise,4667
100,64,PopulationVar,2083
100,64,AltBariance,1583
100,65,Unbiased,2167
100,65,Biased,2084
100,65,BarianceOpt,1625
100,65,NaivePairwise,4625
100,65,UnbiasedPairwise,4667
100,65,BiasedPairwise,4833
100,65,PopulationVar,2083
100,65,AltBariance,1584
100,66,Unbiased,2584
100,66,Biased,2375
100,66,BarianceOpt,1583
100,66,NaivePairwise,4625
100,66,UnbiasedPairwise,4625
100,66,BiasedPairwise,4667
100,66,PopulationVar,2375
100,66,AltBariance,1458
100,67,Unbiased,2125
100,67,Biased,2125
100,67,BarianceOpt,1583
100,67,NaivePairwise,4708
100,67,UnbiasedPairwise,4625
100,67,BiasedPairwise,4625
100,67,PopulationVar,2041
100,67,AltBariance,1500
100,68,Unbiased,2125
100,68,Biased,2084
100,68,BarianceOpt,1584
100,68,NaivePairwise,4625
100,68,UnbiasedPairwise,4625
100,68,BiasedPairwise,4750
100,68,PopulationVar,2042
100,68,AltBariance,1375
100,69,Unbiased,2125
100,69,Biased,2125
100,69,BarianceOpt,1542
100,69,NaivePairwise,4709
100,69,UnbiasedPairwise,4750
100,69,BiasedPairwise,4667
100,69,PopulationVar,2083
100,69,AltBariance,1791
100,70,Unbiased,2250
100,70,Biased,2042
100,70,BarianceOpt,1583
100,70,NaivePairwise,4666
100,70,UnbiasedPairwise,4667
100,70,BiasedPairwise,4667
100,70,PopulationVar,2083
100,70,AltBariance,1542
100,71,Unbiased,2459
100,71,Biased,2375
100,71,BarianceOpt,1708
100,71,NaivePairwise,4583
100,71,UnbiasedPairwise,4625
100,71,BiasedPairwise,4666
100,71,PopulationVar,2375
100,71,AltBariance,1875
100,72,Unbiased,2125
100,72,Biased,2125
100,72,BarianceOpt,1542
100,72,NaivePairwise,4667
